STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,,,,,,,,,,,,,,,,Direction,Position,Depth,Transition,Alternatives,,,,,,,,,,,,
12 - Brendan,Design and Evaluation of Visualization Techniques of Off-Screen and Occluded Targets in Virtual Reality Environments,3DWedge,10.1109/TVCG.2019.2905580,Visual,,,Symbolic,,,,3,Exocentric,Station Point - Egocentric,,Persistent,Direction,,Proximity,,,Select,,Single,Integrated,Search for other users/targets in a 3D city,"3DWedge was the most effective, particularly when modified to 3DWedge+ for high-density scenarios.","Selection time, Direction error, Appearance angle, Number of errors, Error Ranking","Excelled in providing clear distance and direction information, performing best in less dense environments.",16,,,
,Cue #5,3DWedge+,,Visual,,,Symbolic,,,,3,Exocentric,Station Point - Egocentric,,Persistent,Direction,,Proximity,,,Select,,Single,Integrated,Search for other users/targets in a 3D city,"3DWedge was the most effective, particularly when modified to 3DWedge+ for high-density scenarios.","Selection time, Direction error, Appearance angle, Number of errors, Error Ranking",Particularly suitable for dense scenarios,16,,,
,Cue #2,3DArrow,,Visual,,,Symbolic,,,,3,Exocentric,Station Point - Egocentric,,Persistent,Direction,,,,,Select,,Single,Integrated,Search for other users/targets in a 3D city,"3DWedge was the most effective, particularly when modified to 3DWedge+ for high-density scenarios.","Selection time, Direction error, Appearance angle, Number of errors, Error Ranking",Was effective for showing clear directional cues but struggled in dense environments.,16,,,
,Cue #3,3DMinimap,,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,,Proximity,,,Select,,Single,Integrated,Search for other users/targets in a 3D city,"3DWedge was the most effective, particularly when modified to 3DWedge+ for high-density scenarios.","Selection time, Direction error, Appearance angle, Number of errors, Error Ranking",Provided a good overview but was less effective for precise distance and direction tasks.,16,,,
,Cue #4,Radar,,Visual,,,Symbolic,Alphanumeric,,,2,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,,Proximity,,,Select,,Single,Overlaid,Search for other users/targets in a 3D city,"3DWedge was the most effective, particularly when modified to 3DWedge+ for high-density scenarios.","Selection time, Direction error, Appearance angle, Number of errors, Error Ranking",Showed difficulties in visual clutter and was the least preferred in dense environments.,16,,,
37 - Jalynn,Pick-By-Vision: There is Something to Pick at the end of the Augmented Tunnel,Compass-Arrow (Never by itself),https://doi.org/10.1007/s10055-011-0187-9,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,Position,,,,Select,,Single,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",X,34,,,
,Series 2: Cue #2,Arrow W/ Compass-Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Select,,Single,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",Users had serious problems in the beginning,34,,,
,Series 2: Cue #3,Frame W/ Compass-Arrow,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,Direction,Position,,Transition,,Select,,Multiple,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",No errors; significantly faster than tunnel and arrow,34,,,
,Series 2: Cue #4,Tunnel (No Arrow),,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,Movement,Select,,Single,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",Produced a few problems; Preferred by users over the compass-arrow,34,,,
,Series 3: Cue #1,Frame (Never by itself),,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Select,,Single,Emphasized,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",X,14,,,
,Series 3: Cue #2,S-Tunnel (Opaque) W/ Frame,,Visual,,,Emphatic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,Transition,Movement,Select,,Multiple,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",No errors; significantly slower than other visualizations,14,,,
,Series 3: Cue #3,S-Tunnel (Semi-Transparent) W/ Frame,,Visual,,,Emphatic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,Transition,Movement,Select,,Multiple,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",No errors ,14,,,
,Series 3: Cue #4,Compass-Arrow W/ Frame,,Visual,,,Emphatic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,Position,,Transition,,Select,,Multiple,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",Rated best alongside R-Tunnel,14,,,
,Series 3: Cue #5,R-Tunnel (Semi-Transparent) W/ Frame,,Visual,,,Emphatic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,Transition,Movement,Select,,Multiple,Integrated,Warehouse Picking Task,"Frame-based visualization was found to be the most effective, as it made no errors in identification and had the fastest picking times.","Errors, Picking time, and Subject observations",Rated best alongside Arrow; considered to be the best tunnel,14,,,
2 - Brendan,Evaluating Visual Cues for Future Airborne Surveillance Using Simulated Augmented Reality Displays,Moving Arrow,10.1109/VR51125.2022.00040,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Look,,Single,Overlaid,Visual Search: Boats in the Ocean,"The study found that AR cues, irrespective of the style, significantly improved performance in terms of response time and eye movement compared to no cues.","Response time, Eye movement, and Gaze error count",Provided directional guidance but was less effective compared to the static and pulsing circles in terms of performance.,24,,,
,Cue #2,Static Circle,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Look,,Single,Overlaid,Visual Search: Boats in the Ocean,"The study found that AR cues, irrespective of the style, significantly improved performance in terms of response time and eye movement compared to no cues.","Response time, Eye movement, and Gaze error count",Was found to be effective in clearly marking the location of the target.,24,,,
,Cue #3,Pulsing Circle,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Look,,Multiple,Overlaid,Visual Search: Boats in the Ocean,"The study found that AR cues, irrespective of the style, significantly improved performance in terms of response time and eye movement compared to no cues.","Response time, Eye movement, and Gaze error count","Was effective in drawing attention to the target due to its dynamic nature, suggesting urgency or importance.",24,,,
8 - Jalynn,Supporting Order Picking with Augmented Reality,Arrow-based Visualization AND Compass-Like Arrow with Rubber-Band Guide,https://doi.org/10.1109/ISMAR.2008.4637331,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,,,,Select,,Single,Integrated,Visual Search: Boxes in a Warehouse,"The Frame-based visualization was particularly effective, resulting in the highest accuracy with zero errors in picking the correct box. It significantly reduced errors compared to other methods.",Completion time & Error Rates,“Subjects were significantly slower using the Arrow than using the Frame.”,34,,,
,Study 2: Cue #3,Tunnel-Based Visualization,,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,,Position,Proximity,,Movement,Select,,Single,Integrated,Visual Search: Boxes in a Warehouse,"The Frame-based visualization was particularly effective, resulting in the highest accuracy with zero errors in picking the correct box. It significantly reduced errors compared to other methods.",Completion time & Error Rates,"“Participants made most mistakes using the Arrow, followed by the Tunnel.”; “People preferred the Tunnel over the Compass.”",34,,,
,Study 2: Cue #2 & Study 3: Cue #1,Frame-Based Visualization AND Compass-Like Arrow with Rubber-Band Guide,,Visual,,,Emphatic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,,Transition,,Select,,Multiple,Integrated,Visual Search: Boxes in a Warehouse,"The Frame-based visualization was particularly effective, resulting in the highest accuracy with zero errors in picking the correct box. It significantly reduced errors compared to other methods.",Completion time & Error Rates,“Frame-based worked without mistakes.”,34 / 14,,,
,Study 3: Cue #2,S-Tunnel (Opaque) with Frame,,Visual,,,Emphatic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,Transition,Movement,Select,,Multiple,Integrated,Visual Search: Boxes in a Warehouse,"The Frame-based visualization was particularly effective, resulting in the highest accuracy with zero errors in picking the correct box. It significantly reduced errors compared to other methods.",Completion time & Error Rates,“We could prove the Frame visualization as a clear technique.”,14,,,
,Study 3: Cue #3,S-Tunnel (Semi-Transparent) with Frame,,Visual,,,Emphatic,,,,3,Exocentric,Headcentric - Egocentric,,Context,Direction,Position,Proximity,Transition,Movement,Select,,Multiple,Integrated,Visual Search: Boxes in a Warehouse,"The Frame-based visualization was particularly effective, resulting in the highest accuracy with zero errors in picking the correct box. It significantly reduced errors compared to other methods.",Completion time & Error Rates,X,14,,,
,Study 3: Cue #4,R-Tunnel (Semi-Transparent) with Frame,,Visual,,,Emphatic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,Transition,Movement,Select,,Multiple,Integrated,Visual Search: Boxes in a Warehouse,"The Frame-based visualization was particularly effective, resulting in the highest accuracy with zero errors in picking the correct box. It significantly reduced errors compared to other methods.",Completion time & Error Rates,X,14,,,
28 - Brendan,Comparing Techniques for Visualizing Moving Out-of-View Object in Head-mounted Virtual Reality,3DRadar,https://doi.org/10.1109/VR.2019.8797725,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,Position,Proximity,,Movement,Look,,Single,Overlaid,Monitoring Objects Out of View,3DRadar,Movement Estimation Error & Estimation Error of Start and End Positions,3DRadar resulted more significantly in both DVs and was also preferred by 13 of 15 participants,15,,,
,Cue #2,EyeSee360,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,Movement,Look,,Multiple,Overlaid,Monitoring Objects Out of View,3DRadar,Movement Estimation Error & Estimation Error of Start and End Positions,3DRadar resulted more significantly in both DVs and was also preferred by 13 of 15 participants,15,,,
1 - Brendan,Spatial Auditory Cueing for a Dynamic Three-Dimensional Virtual Reality Visual Search Task,Non-Masked Auditory Cues,https://doi.org/10.1177/1071181319631045,Auditory,,,Emphatic,Captured,,,,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,,,Movement,Discover,,Single,Integrated,Operational/Military,Non-Masked Auditory Cue,"Response Time, Workload Capacity, & Accuracy","Provided significant reduction in visual search time, improving both speed and accuracy.",14,,,
